Index,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASVTotalReads,Sample,Reads,SampleTotalReads
228,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Trifolium,s_Trifolium repens,47578,Bf002,63,506
229,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Trifolium,s_Trifolium repens,47578,KLS0169,15,282
316,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Ba002,17,620
317,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb005,1032,2564
318,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb008,973,1919
319,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb009,489,1401
320,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb012,422,6951
321,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb013,228,1860
322,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb014,677,1185
323,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb016,94,94
324,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb017,1058,1291
325,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb018,947,1745
326,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb019,1534,5732
327,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb022,5246,11255
328,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bb023,2948,6855
329,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bg001,33,5214
330,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bg005,50,2244
331,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bg010,113,1158
332,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,Bg011,37,3096
333,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,KLS0096,3183,6645
334,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,KLS0105,10699,15070
335,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,KLS0106,107,1685
336,k_Viridiplantae,p_Streptophyta,c_NA,o_Fabales,f_Fabaceae,g_Cercis,s_NA,30807,KLS0163,147,1602
